Unnamed: 0,composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
29,Li3.75 V0.25 Ge0.75 O4,5.66e-06,-5.247183569,,150918.cif,25.0,https://doi.org/10.1039/D2EE03499A
434,Li6.4 Sn0.1 P0.6 Se5 I1,0.001691889,-2.771628133,0.257620809,Se_Sn040.cif,25.0,10.1021/acs.inorgchem.1c02813
50,Li5 Al1 O4,5e-10,-9.301029996,0.99,16229.cif,25.0,https://doi.org/10.1039/D2EE03499A
309,Li2.667 Mg0.667 P2 S6,4e-06,-5.397940009,0.46,95607.cif,25.0,https://doi.org/10.1039/D2EE03499A
425,Li6.5 Si0.5 P0.5 S5 I1,0.001015141,-2.993473631,0.229922299,LSPSI_X050.cif,25.0,10.1021/acs.chemmater.9b01857
267,Li2 Mn1 Cl4,4.79e-06,-5.319664487,,69678.cif,25.0,https://doi.org/10.1039/D2EE03499A
116,Sr1 Li1 Ta2 O6 F1,1e-10,-10.0,0.604,236010.cif,25.0,https://doi.org/10.1039/D2EE03499A
339,Li2ZrCl6,0.00089,-3.050609993,0.35,Li2ZrCl4_p3m1.cif,25.0,https://doi.org/10.1038/s41467-021-24697-2
410,Li6 P1 Se5 I1,0.00031874,-3.496563432,0.285776046,Li6PSe5I.cif,25.0,10.1021/acsaem.9b01794
388,Li6 P1 S5 Br1,0.001571152,-2.803781797,0.342684669,Li6PS5Br_33disorder.cif,25.0,10.1002/aenm.202003369
382,Li6 P1 S5 Br1,0.00053773,-3.269435734,0.307402358,Li6PS5Br_10disorder.cif,25.0,10.1002/aenm.202003369
297,Li5 Ga1 O4,5e-09,-8.301029996,0.71,9082.cif,25.0,https://doi.org/10.1039/D2EE03499A
263,Li1 P1 N2,1.6e-07,-6.795880017,0.4,66007.cif,25.0,https://doi.org/10.1039/D2EE03499A
328,Li6.2 Ge0.2 P0.8 S5 I1,3.31e-05,-4.480172006,0.3605,LGPSI_02.cif,25.0,10.1021/jacs.8b10282
132,Li7.22 Si1.5 P0.5 O8,1.64e-07,-6.785156152,0.48,238602.cif,25.0,https://doi.org/10.1039/D2EE03499A
355,Li4 Sn1 Se4,4.87e-08,-7.312471039,0.535183821,Li4SnSe4.cif,25.0,Nicolo Minafra
337,Li2HfCl6,0.0005,-3.301029996,0.35,Li2HfCl6_Ideal Layered Structure_SSW-NN.cif,30.0,https://doi.org/10.1021/acs.nanolett.2c00187
402,Li6 P1 S5 Cl1,0.00209365,-2.679095919,0.42899,Li6PS5Cl_n.cif,25.0,10.1021/jacs.7b06327
28,Li2 Te1 O4,1e-10,-10.0,1.129,1485.cif,25.0,https://doi.org/10.1039/D2EE03499A
1,Li3.95 Ge0.95 Sb0.05 S4,7.38e-06,-5.131943638,0.4703,005Sb_final.cif,25.0,10.1021/acs.chemmater.2c00608
326,Li6.1 Ge0.1 P0.9 S5 I1,9.21e-06,-5.03574037,0.38578,LGPSI_01.cif,25.0,10.1021/jacs.8b10282
429,LiGa(SeO3)2,0.00011,-3.958607315,0.17,mp-1198930.cif,27.0,DOI: 10.1038/s41563-022-01222-4
365,Li6.1Si0.1Sb0.9S5I ,6.7e-06,-5.173925197,0.55,Li6.1Si0.1Sb0.9S5I.cif,25.0,10.1021/jacs.9b08357
420,Li6.1 Si0.1 P0.9 S5 I1,6.1e-06,-5.214670165,0.369322434,LSPSI_X010.cif,25.0,10.1021/acs.chemmater.9b01857
175,Li1 Al1 Ge1 O4,1e-10,-10.0,0.97,257741.cif,25.0,https://doi.org/10.1039/D2EE03499A
264,Li3.5 V0.5 Ge0.5 O4,1.77e-05,-4.752026734,,66576.cif,25.0,https://doi.org/10.1039/D2EE03499A
381,Li6 P1 S5 Br1,0.002636447,-2.578980955,0.30955,Li6PS5Br_0Se.cif,25.0,10.1021/acs.inorgchem.8b02443
325,Li10 Ge1 Sb0.25 P1.75 S12,0.009267185,-2.033052167,0.27821,LGPS_025Sb_300K.cif,25.0,10.1039/D2CP04710A
39,Li3 B1 N2,8.7e-08,-7.060480747,0.55,155126.cif,26.85,"Nature Communications, 10, 5260 (2019)"
111,Li8 Ge1 P4,8.6e-05,-4.065501549,0.394,235185.cif,25.0,https://doi.org/10.1039/D2EE03499A
86,Li5.5 Nd3 Zr2 Al0.5 O12,3.9e-05,-4.408935393,0.56,189530.cif,25.0,https://doi.org/10.1039/D2EE03499A
78,Li1 V1 P1 O4 F1,8.1e-07,-6.091514981,0.23,183876.cif,25.0,https://doi.org/10.1039/D2EE03499A
344,Li3 Y1 Cl6,0.000302536,-3.519222939,0.411253719,Li3YCl6_mechanochemical.cif,25.0,10.1021/acs.chemmater.0c04352
401,Li6 P1 S5 Br0.75 Cl0.25,0.001949653,-2.710042678,0.32922,Li6PS5Br0.75Cl0.25_n.cif,25.0,10.1021/jacs.7b06327
83,Li0.5 Ce0.25 Pr0.25 Mo1 O4,1e-09,-9.0,0.5,186451.cif,25.0,https://doi.org/10.1039/D2EE03499A
331,Li6.4 Ge0.4 P0.6 S5 I1,0.001507029,-2.82187839,0.24065,LGPSI_04.cif,25.0,10.1021/jacs.8b10282
127,Sr1 Li6 La2 Ta2 O12,5.4e-06,-5.26760624,0.45,237200.cif,25.0,https://doi.org/10.1039/D2EE03499A
247,Li1.9 Mn0.9 Ga0.1 Cl4,2.37e-07,-6.625251654,,50305.cif,25.0,https://doi.org/10.1039/D2EE03499A
396,Li6 P1 S5 Br1,0.001116615,-2.952096542,0.30022,Li6PS5Br_n.cif,25.0,10.1021/jacs.7b06327
281,Li6 I3 N1,3.7e-06,-5.431798276,,83380.cif,25.0,https://doi.org/10.1039/D2EE03499A
357,Li5.9 Sb1 S4.9 I1.1,1.99e-07,-6.701146924,0.501,Li5_9SbS4_9I1_1_HT.cif,25.0,Hauke Gl√ºck
72,Li3 Sc1 Cl6,0.003,-2.522878745,0.365,18229.cif,25.0,https://doi.org/10.1021/jacs.0c00134
416,Li6.2 Sn0.2 P0.8 S5 I1,4.32e-05,-4.364516253,0.348550085,LSnPSI_X020.cif,25.0,10.1021/acs.chemmater.9b01857
209,Li4 Sn1 S4,7e-05,-4.15490196,0.29,290832.cif,25.0,https://doi.org/10.1039/D2EE03499A
292,Li2 Zn1 Ge3 O8,1e-10,-10.0,2.14,86169.cif,25.0,https://doi.org/10.1039/D2EE03499A
259,Li6 Zn1 O4,9.4e-09,-8.026872146,0.61,62137.cif,25.0,https://doi.org/10.1039/D2EE03499A
390,Li6 P1 Se0.4 S4.6 Br1,0.00364,-2.438898616,0.33,Li6PS5Br_40Se.cif,25.0,https://doi.org/10.1039/D2EE03499A
345,Li4 Sn0.75 Ge0.25 S4,4.06e-07,-6.391473966,0.564604274,Li4Ge0.25Sn0.75S4.cif,25.0,10.1021/acs.chemmater.9b01059
41,Li3 N1,0.0003,-3.522878745,0.26,156894.cif,25.0,https://doi.org/10.1039/D2EE03499A
23,Li4 B7 Cl1 O12,2.4e-05,-4.619788758,,1125.cif,25.0,https://doi.org/10.1039/D2EE03499A
342,Li3 Sb1 S4,8.69e-11,-10.06098022,0.75012,Li3SbS4_neutron.cif,25.0,"Bianca Helm, paper in preparation"
246,Li3 Yb1 Cl6,0.0001,-4.0,0.5,50152.cif,30.0,https://doi.org/10.1021/acsmaterialslett.1c00142
169,Li10 Ge1 P2 S12,0.012,-1.920818754,0.25,255749.cif,25.0,https://doi.org/10.1039/D2EE03499A
224,Li1 Gd1 P4 O12,1e-10,-10.0,1.7,416442.cif,25.0,https://doi.org/10.1039/D2EE03499A
94,Li1 Al1 Si4 O10,1.01e-10,-9.995678626,,194284.cif,25.0,https://doi.org/10.1039/D2EE03499A
9,Li3 Sb0.8 P0.2 S4,3.06e-08,-7.514278574,0.61701,020P.cif,25.0,"Bianca Helm, paper in preparation"
3,Li3 Sb0.9 P0.1 S4,1.2e-09,-8.920818754,0.7386,010P.cif,25.0,"Bianca Helm, paper in preparation"
51,Li3 H4 I1 N2,1e-05,-5.0,0.58,167528.cif,25.0,https://doi.org/10.1039/D2EE03499A
91,Li10 Sn1 P2 S12,0.007,-2.15490196,0.27,193755.cif,25.0,https://doi.org/10.1039/D2EE03499A
225,Li2 Si1 N2,1.6e-07,-6.795880017,,420126.cif,25.0,https://doi.org/10.1039/D2EE03499A
137,Sr0.1 Li1 La0.9 O2,6.29e-10,-9.201349355,0.62,239279.cif,25.0,https://doi.org/10.1039/D2EE03499A
163,Li1 Ga2 Ge1 S6,3.8e-08,-7.420216403,0.47,254406.cif,25.0,https://doi.org/10.1039/D2EE03499A
147,Li4 P2 S6,1.6e-10,-9.795880017,0.48,242170.cif,25.0,https://doi.org/10.1021/acs.chemmater.6b04175
144,Li9 S3 N1,8.3e-07,-6.080921908,0.52,240749.cif,25.0,https://doi.org/10.1039/D2EE03499A
27,Na1 Li1 S1 O4,8.8e-10,-9.055517328,,14364.cif,25.0,https://doi.org/10.1039/D2EE03499A
431,Li6.1 Sn0.1 P0.9 Se5 I1,0.00081627,-3.088166165,0.287471941,Se_Sn010.cif,25.0,10.1021/acs.inorgchem.1c02813
160,Li0.4 La0.6 Ti0.8 Al0.2 O3,0.000568,-3.245651664,,254046.cif,25.0,https://doi.org/10.1039/D2EE03499A
13,Li3 Sb0.7 P0.3 S4,1.05e-07,-6.978810701,0.507,030P.cif,25.0,"Bianca Helm, paper in preparation"
190,Li1 Sb1 O2,1e-10,-10.0,0.88,262075.cif,25.0,https://doi.org/10.1039/D2EE03499A
228,Li7 La3 Zr2 O12,0.000569,-3.244887734,0.36,422259.cif,25.0,https://doi.org/10.1039/D2EE03499A
405,Li6 P1 S5 I1,3.46e-06,-5.460923901,0.38024994,Li6PS5I.cif,25.0,10.1021/acsaem.9b01794
189,Li1 Zn1 S1 O4 F1,2.8e-05,-4.552841969,0.2455,261343.cif,25.0,https://doi.org/10.1039/D2EE03499A
133,Li4 Si1 O4,5e-10,-9.301029996,0.55,238603.cif,25.0,https://doi.org/10.1039/D2EE03499A
54,Li1.2 Mg0.2 Ti1.6 O4,4.24e-09,-8.372634143,0.615,168141.cif,25.0,https://doi.org/10.1039/D2EE03499A
180,Li6.5 La3 Ta0.5 Sn1.5 O12,0.00019,-3.721246399,0.45,258922.cif,25.0,https://doi.org/10.1039/D2EE03499A
26,Li1.5Ta2P0.5Si0.5O8,0.00082,-3.086186148,0.309,113374.cif,25.0,10.1021/acs.chemmater.1c01837
403,Li6 P1 S5 Cl1,0.002244457,-2.648888711,0.419372305,Li6PS5Cl1.cif,25.0,10.1021/acsaem.1c01417
386,Li6 P1 S5 Br1,0.001339893,-2.872929882,0.346232129,Li6PS5Br_28disorder.cif,25.0,10.1002/aenm.202003369
136,Li1 La1 O2,1e-10,-10.0,0.92,239278.cif,25.0,https://doi.org/10.1039/D2EE03499A
89,Sr0.23 Li0.368 La0.402 Ti1 O3,2.87e-05,-4.542118103,0.36,190827.cif,25.0,https://doi.org/10.1039/D2EE03499A
87,Sr0.049 Li0.461 La0.49 Ti1 O3,0.000709,-3.149353765,0.33,190825.cif,25.0,https://doi.org/10.1039/D2EE03499A
171,Li1.3 Ti1.7 Al0.3 P3 O12,0.00113,-2.946921557,0.23,257190.cif,25.0,https://doi.org/10.1039/D2EE03499A
